level_0,index,SITE_ID,2015_DATA_START,2015_DATA_END,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAP_tower,MAT_tower,MET,PET_PM,PET_PT,MAP_badm,MAT_badm,GSfit_R2,CanopyHeight,MLAI,Nsample,GSfit_R2_nosm,g0,g1,m,GSmax0,GSmax1,GSmax2,g00,g01,g02,g03,GSREF
87,112,SD-Dem,2005,2009,13.2829,30.4783,500,SAV,241.6520551,27.62096773,530.8504767,2835.606039,1114.553512,320,26,0.6676414,5,0.3833843,3055,0.599823068,0.002015756,0.008715661,0.189553045,0.068017898,0.084149526,0.107394213,0.012110352,0.003467272,0.002040381,0.001871872,0.102337387
88,113,SN-Dhr,2010,2013,15.4028,-15.4322,40,SAV,345.3624703,28.30010392,760.632195,2901.69173,1110.294878,404,29,0.767926475,1.58,0.825613392,2840,0.720967282,0.00166296,0.013827872,0.205647566,0.190730585,0.21981318,0.270434923,0.005525622,1.01E-15,1.49E-16,0.070924253,0.416244579
89,114,US-AR1,2009,2012,36.4267,-99.42,611,GRA,434.9505191,15.90651957,582.4661112,1718.490299,897.9408304,,,0.546839715,0.5,0.750599303,2875,0.481993042,0.023376881,0.010725538,0.34683602,0.094841015,0.111099164,0.138970386,0.01754206,0.009031325,0.022565154,0.048429219,0.18385056
90,115,US-AR2,2009,2012,36.6358,-99.5975,646,GRA,396.6925022,15.74560053,443.9306749,1668.019396,876.4361658,,,0.511664787,0.25,0.633217957,3100,0.385371869,0.029919335,0.008901233,0.510833116,0.075805286,0.090533506,0.108521081,0.019122916,0.018771502,0.036928695,0.054902185,0.120093947
91,116,US-ARb,2005,2006,35.5497,-98.0402,424,GRA,658.1555124,18.18274351,799.3114427,2313.786512,1174.142768,,,0.736701524,0.1,1.000489944,2077,0.6893019,0.051959468,0.011758974,0.479691848,0.155117137,0.167944178,0.191333974,0.03468911,0.069411364,0.067946718,0.060148719,0.221751527
92,117,US-ARc,2005,2006,35.5465,-98.04,424,GRA,687.9781209,17.76496715,867.0896427,2259.357731,1240.925599,,,0.697166109,0.4,1.385052624,2322,0.64931774,0.054642006,0.013967661,0.627856813,0.127146927,0.142229939,0.160370105,0.0308355,0.088206215,0.050828752,0.10085236,0.202650186
93,118,US-ARM,2003,2012,36.6058,-97.4888,314,CRO,631.5895703,15.47284268,561.9486476,1503.774779,978.4143649,843,14.76,0.522473533,0.191111111,0.76173036,6719,0.503277963,0.042397631,0.011891307,0.434325531,0.173245713,0.200082987,0.241593304,0.03111516,0.041791273,0.048986446,0.056544253,0.257987873
94,119,US-Blo,1997,2007,38.8953,-120.6328,1315,ENF,1187.945294,11.90596027,795.244997,1667.97047,1293.512496,1226,11.09,0.593894667,2.59,2.146046211,7549,0.548276454,0.000801948,0.016328478,0.301334838,0.120564392,0.132740039,0.151748804,3.51E-26,0.001952638,0.076349244,5.10E-16,0.176630271
95,120,US-Cop,2001,2007,38.09,-109.39,1520,GRA,176.4396157,15.19742853,179.8754721,2495.985884,973.2212533,,,0.272021144,0.5,0.267354325,1341,0.272021144,0.011193523,0.014374068,1.28690368,0.059480926,0.070290147,0.084628626,0.011193523,0.011193523,0.011193523,0.011193523,0.096637193
96,121,US-GBT,1999,2006,41.3658,-106.2397,3191,ENF,537.6696303,0.925825778,702.7452787,656.7374028,897.3286585,1200,0.8,0.137853811,11.55,0.910055376,340,0.137853811,0.095571087,0.007997773,0.361160185,0.187012719,0.201341668,0.224059023,0.095571087,0.095571087,0.095571087,0.095571087,0.228336689
